ID,Company Name,Slug,Website,HQ / Primary Office,Country / Region,Regulatory / License Notes,FluidRWA Segment,Services Offered,Asset Classes / Use Cases,Digital Asset / Tokenization Signal,Best For,Investor Types Served,Geographic Coverage,Likely Minimum Deal Size,FluidRWA Priority,Criteria Met,Verification Status,Suggested Listing Description,Source URLs,Codex Add?,Manual Notes
36,Eaton Partners,eaton-partners,https://www.stifel.com/institutional/investment-banking/eaton-partners,"Rowayton, CT",United States,Placement agent / Stifel company,Placement Agent,"Fund placement, private capital advisory, secondaries","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Institutional capital access,Alternative investment managers,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Eaton Partners is a placement agent candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for alternative investment managers, with services including fund placement, private capital advisory, secondaries.",https://www.stifel.com/institutional/investment-banking/eaton-partners | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
37,Greenstone Equity Partners,greenstone-equity-partners,https://www.greenstoneequity.com,Dubai,United Arab Emirates,Regulated placement/advisory firm,Placement Agent,Fund placement and capital raising across GCC investors,"Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Middle East distribution relevance,Managers seeking GCC capital,"Institutional investors, accredited investors, financial advisors, family offices",Cross-border / regional,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Greenstone Equity Partners is a placement agent candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for managers seeking gcc capital, with services including fund placement and capital raising across gcc investors.",https://www.greenstoneequity.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
38,PineBridge Benson Elliot / Private Funds Group,pinebridge-benson-elliot-private-funds-group,https://www.pinebridge.com,"New York, NY",United States,Asset manager/private capital platform,Placement / Alternatives,"Private markets, alternatives, capital solutions","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Private markets investor access,Asset managers seeking alternatives expertise,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Low,relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"PineBridge Benson Elliot / Private Funds Group is a placement / alternatives candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for asset managers seeking alternatives expertise, with services including private markets, alternatives, capital solutions.",https://www.pinebridge.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
39,Capstone Partners,capstone-partners,https://www.capstonepartners.com,"Boston, MA",United States,Investment bank / FINRA member entities,Investment Bank,"M&A, capital advisory, debt and equity financing","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Middle-market capital raising,Middle-market companies and funds,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Capstone Partners is a investment bank candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for middle-market companies and funds, with services including m&a, capital advisory, debt and equity financing.",https://www.capstonepartners.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
40,LPL Financial,lpl-financial,https://www.lpl.com,"San Diego, CA",United States,US independent broker-dealer,Wealth Broker-Dealer,"Advisor network, brokerage, advisory, alternative investment access","Public securities, alternatives, advisory products, private placements where approved",Massive wealth distribution network; not tokenization-specific,Wealth channel distribution,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"LPL Financial is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for wealth channel distribution, with services including advisor network, brokerage, advisory, alternative investment access.",https://www.lpl.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
41,Osaic,osaic,https://osaic.com,"Scottsdale, AZ",United States,US independent broker-dealer network,Wealth Broker-Dealer,"Independent advisor platform, brokerage, advisory, insurance, alternatives","Public securities, alternatives, advisory products, private placements where approved",Large advisor distribution network,Sponsors targeting independent financial advisors,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Osaic is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for sponsors targeting independent financial advisors, with services including independent advisor platform, brokerage, advisory, insurance, alternatives.",https://osaic.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
42,Cetera Financial Group,cetera-financial-group,https://www.cetera.com,"San Diego, CA",United States,US independent broker-dealer network,Wealth Broker-Dealer,"Advisor platform, broker-dealer services, wealth management, bank/credit union programs","Public securities, alternatives, advisory products, private placements where approved",Large advisor distribution network,Alternative investment sponsors,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Cetera Financial Group is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for alternative investment sponsors, with services including advisor platform, broker-dealer services, wealth management, bank/credit union programs.",https://www.cetera.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
43,Raymond James Financial Services,raymond-james-financial-services,https://www.raymondjames.com,"St. Petersburg, FL",United States,US broker-dealer / wealth management,Wealth Broker-Dealer,"Brokerage, advisory, investment banking, wealth management","Public securities, alternatives, advisory products, private placements where approved",Large wealth and capital markets network,"Wealth, family office and advisor access","Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Raymond James Financial Services is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for wealth, family office and advisor access, with services including brokerage, advisory, investment banking, wealth management.",https://www.raymondjames.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
44,Ameriprise Financial,ameriprise-financial,https://www.ameriprise.com,"Minneapolis, MN",United States,US broker-dealer / wealth management,Wealth Broker-Dealer,"Financial planning, brokerage, advisory, retirement, investments","Public securities, alternatives, advisory products, private placements where approved",Large wealth distribution channel,Retail and high-net-worth distribution,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Ameriprise Financial is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for retail and high-net-worth distribution, with services including financial planning, brokerage, advisory, retirement, investments.",https://www.ameriprise.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
45,Edward Jones,edward-jones,https://www.edwardjones.com,"St. Louis, MO",United States,US broker-dealer / wealth management,Wealth Broker-Dealer,"Financial advisors, brokerage, advisory, retirement planning","Public securities, alternatives, advisory products, private placements where approved",Large retail investor network,Mainstream wealth distribution,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Edward Jones is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for mainstream wealth distribution, with services including financial advisors, brokerage, advisory, retirement planning.",https://www.edwardjones.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
46,Commonwealth Financial Network,commonwealth-financial-network,https://www.commonwealth.com,"Waltham, MA",United States,US independent broker-dealer,Wealth Broker-Dealer,"Advisor support, brokerage, RIA services, practice management","Public securities, alternatives, advisory products, private placements where approved",Independent advisor distribution,Alternative investment sponsors,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Commonwealth Financial Network is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for alternative investment sponsors, with services including advisor support, brokerage, ria services, practice management.",https://www.commonwealth.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
47,Cambridge Investment Research,cambridge-investment-research,https://www.joincambridge.com,"Fairfield, IA",United States,US independent broker-dealer,Wealth Broker-Dealer,"Broker-dealer services, RIA support, advisor platform","Public securities, alternatives, advisory products, private placements where approved",Independent advisor distribution,Advisor channel access,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Cambridge Investment Research is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for advisor channel access, with services including broker-dealer services, ria support, advisor platform.",https://www.joincambridge.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
48,Kestra Financial,kestra-financial,https://www.kestrafinancial.com,"Austin, TX",United States,US independent broker-dealer,Wealth Broker-Dealer,"Advisor platform, brokerage, advisory, wealth technology","Public securities, alternatives, advisory products, private placements where approved",Independent advisor distribution,Alternative investment distribution,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Kestra Financial is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for alternative investment distribution, with services including advisor platform, brokerage, advisory, wealth technology.",https://www.kestrafinancial.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
49,Sanctuary Wealth,sanctuary-wealth,https://www.sanctuarywealth.com,"Indianapolis, IN",United States,US broker-dealer / RIA platform,Wealth Broker-Dealer,"Partnered independence, wealth management platform, advisor support","Public securities, alternatives, advisory products, private placements where approved",High-net-worth advisor network,Family office and advisor access,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Sanctuary Wealth is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for family office and advisor access, with services including partnered independence, wealth management platform, advisor support.",https://www.sanctuarywealth.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
50,Rockefeller Capital Management,rockefeller-capital-management,https://www.rockco.com,"New York, NY",United States,US broker-dealer / wealth management,Wealth Broker-Dealer,"Global family office, private wealth, asset management, strategic advisory","Public securities, alternatives, advisory products, private placements where approved",Family office relevance,Ultra-high-net-worth and family office access,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Rockefeller Capital Management is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for ultra-high-net-worth and family office access, with services including global family office, private wealth, asset management, strategic advisory.",https://www.rockco.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
51,Stifel Independent Advisors,stifel-independent-advisors,https://www.stifelindependentadvisors.com,"St. Louis, MO",United States,US broker-dealer / wealth platform,Wealth Broker-Dealer,Independent advisor platform backed by Stifel,"Public securities, alternatives, advisory products, private placements where approved",Advisor distribution and capital markets access,Independent financial advisors,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Stifel Independent Advisors is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for independent financial advisors, with services including independent advisor platform backed by stifel.",https://www.stifelindependentadvisors.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
52,Baird,baird,https://www.rwbaird.com,"Milwaukee, WI",United States,US broker-dealer / wealth and investment bank,Wealth Broker-Dealer,"Private wealth, institutional equities, fixed income, investment banking","Public securities, alternatives, advisory products, private placements where approved",Wealth and capital markets distribution,Wealth and middle-market capital markets,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Baird is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for wealth and middle-market capital markets, with services including private wealth, institutional equities, fixed income, investment banking.",https://www.rwbaird.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
53,Janney Montgomery Scott,janney-montgomery-scott,https://www.janney.com,"Philadelphia, PA",United States,US broker-dealer / wealth management,Wealth Broker-Dealer,"Wealth management, capital markets, financial advisory","Public securities, alternatives, advisory products, private placements where approved",Regional wealth and capital markets platform,High-net-worth and regional advisor access,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Janney Montgomery Scott is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for high-net-worth and regional advisor access, with services including wealth management, capital markets, financial advisory.",https://www.janney.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
54,RBC Wealth Management US,rbc-wealth-management-us,https://www.rbcwealthmanagement.com,"Minneapolis, MN",United States,US broker-dealer / bank-owned wealth,Wealth Broker-Dealer,"Wealth management, brokerage, advisory, banking access","Public securities, alternatives, advisory products, private placements where approved",Global bank-owned wealth channel,Wealth distribution and HNW investors,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"RBC Wealth Management US is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for wealth distribution and hnw investors, with services including wealth management, brokerage, advisory, banking access.",https://www.rbcwealthmanagement.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
55,UBS Wealth Management,ubs-wealth-management,https://www.ubs.com,Zurich,Switzerland,Global broker-dealer / bank-owned wealth,Wealth Broker-Dealer,"Global wealth management, brokerage, advisory, family office services","Public securities, alternatives, advisory products, private placements where approved",Global wealth and family office access,UHNW and family office distribution,"Institutional investors, accredited investors, financial advisors, family offices",Primarily Switzerland,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"UBS Wealth Management is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for uhnw and family office distribution, with services including global wealth management, brokerage, advisory, family office services.",https://www.ubs.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
56,Morgan Stanley Wealth Management,morgan-stanley-wealth-management,https://www.morganstanley.com,"New York, NY",United States,US broker-dealer / wealth management,Wealth Broker-Dealer,"Wealth management, brokerage, alternatives, capital markets","Public securities, alternatives, advisory products, private placements where approved",Major wealth and alternatives distribution channel,Institutional sponsors seeking wealth channels,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Morgan Stanley Wealth Management is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for institutional sponsors seeking wealth channels, with services including wealth management, brokerage, alternatives, capital markets.",https://www.morganstanley.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
57,Merrill Lynch / Bank of America Securities,merrill-lynch-bank-of-america-securities,https://www.ml.com,"New York, NY",United States,US broker-dealer / bank-owned wealth,Wealth Broker-Dealer,"Wealth management, brokerage, banking, investments","Public securities, alternatives, advisory products, private placements where approved",Major wealth distribution platform,Large asset managers and alternatives,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Merrill Lynch / Bank of America Securities is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for large asset managers and alternatives, with services including wealth management, brokerage, banking, investments.",https://www.ml.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
58,Wells Fargo Advisors,wells-fargo-advisors,https://www.wellsfargoadvisors.com,"St. Louis, MO",United States,US broker-dealer / wealth management,Wealth Broker-Dealer,"Financial advisors, brokerage, advisory, banking integration","Public securities, alternatives, advisory products, private placements where approved",Large US wealth channel,Traditional investor distribution,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity; relevant to private markets/RWA distribution,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Wells Fargo Advisors is a wealth broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for traditional investor distribution, with services including financial advisors, brokerage, advisory, banking integration.",https://www.wellsfargoadvisors.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
59,Fidelity Brokerage Services,fidelity-brokerage-services,https://www.fidelity.com,"Boston, MA",United States,US broker-dealer / brokerage platform,Retail/Institutional Brokerage,"Brokerage, custody, wealth, institutional clearing, alternatives marketplace","Public securities, alternatives, advisory products, private placements where approved",Major brokerage/custody infrastructure,Distribution and custody ecosystem mapping,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Fidelity Brokerage Services is a retail/institutional brokerage candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for distribution and custody ecosystem mapping, with services including brokerage, custody, wealth, institutional clearing, alternatives marketplace.",https://www.fidelity.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
60,Charles Schwab,charles-schwab,https://www.schwab.com,"Westlake, TX",United States,US broker-dealer / brokerage platform,Retail/Institutional Brokerage,"Brokerage, custody, RIA custody, advisor services","Public securities, alternatives, advisory products, private placements where approved",Major advisor custody and brokerage platform,RIA and wealth access,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,Medium,regulated/licensed capital markets entity,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Charles Schwab is a retail/institutional brokerage candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for ria and wealth access, with services including brokerage, custody, ria custody, advisor services.",https://www.schwab.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
61,Pershing / BNY,pershing-bny,https://www.pershing.com,"Jersey City, NJ",United States,US clearing broker-dealer / custody,Clearing Broker-Dealer,"Clearing, custody, investment solutions, broker-dealer infrastructure","Private securities, funds, alternatives, capital markets, real-world assets where applicable",Key brokerage infrastructure layer,"Broker-dealers, RIAs and fintech platforms","Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Pershing / BNY is a clearing broker-dealer candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for broker-dealers, rias and fintech platforms, with services including clearing, custody, investment solutions, broker-dealer infrastructure.",https://www.pershing.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
62,Goldman Sachs,goldman-sachs,https://www.goldmansachs.com,"New York, NY",United States,Global investment bank / broker-dealer entities,Investment Bank,"Investment banking, securities, asset management, alternatives, capital markets","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Tokenization initiatives and institutional securities relevance,Large institutional issuers,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Goldman Sachs is a investment bank candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for large institutional issuers, with services including investment banking, securities, asset management, alternatives, capital markets.",https://www.goldmansachs.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
63,J.P. Morgan Securities,j-p-morgan-securities,https://www.jpmorgan.com,"New York, NY",United States,Global bank broker-dealer entities,Investment Bank,"Investment banking, markets, wealth, asset management, tokenized collateral initiatives","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Strong blockchain/tokenization relevance,Large institutional and fund issuers,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"J.P. Morgan Securities is a investment bank candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for large institutional and fund issuers, with services including investment banking, markets, wealth, asset management, tokenized collateral initiatives.",https://www.jpmorgan.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
64,Morgan Stanley,morgan-stanley,https://www.morganstanley.com,"New York, NY",United States,Global investment bank / broker-dealer,Investment Bank,"Investment banking, sales & trading, wealth, asset management","Private equity, private credit, real estate, infrastructure, corporate finance, debt/equity offerings",Institutional distribution and wealth network,Large asset managers and corporates,"Institutional investors, accredited investors, financial advisors, family offices",Primarily United States,Not publicly standardized; verify with firm,High,regulated/licensed capital markets entity; relevant to private markets/RWA distribution; high buyer-fit for FluidRWA,Public website checked; regulatory status must be verified in FINRA BrokerCheck/SEC IAPD or local regulator before publishing,"Morgan Stanley is a investment bank candidate for FluidRWA's broker-dealer and capital distribution category. It may be relevant for large asset managers and corporates, with services including investment banking, sales & trading, wealth, asset management.",https://www.morganstanley.com | https://brokercheck.finra.org/ | https://adviserinfo.sec.gov/ | https://www.sipc.org/list-of-members/,Yes,"Verify licensing, active registration, disciplinary history, jurisdiction and whether they accept RWA/tokenization mandates before outreach."
